place,title,time,pay,date
경기 고양시, 한경기획 고양향동점,10:00~22:00,"월급2,800,000",15분전
경남 창원시, 창원씨티세븐몰점,10:30~22:30,"월급2,400,000",2시간전
강원 강릉시, 한경기획 청년다방 강릉금학점,11:00~22:30,"시급8,590",2시간전
경기 이천시, 한경기획 청년다방 이천창전점,10:30~16:30,"월급1,400,000",3시간전
경기 광명시, 철산역점,11:00~14:00,"시급8,590",5시간전
부산 해운대, 한경기획 청년다방 장산점,11:00~23:00,"월급2,400,000",5시간전
경기 평택시, 한경기획 평택고덕신도시점,18:00~22:00,"시급9,000",6시간전
전남 여수시, 한경기획 청년다방 여수학동점,11:00~22:00,"시급8,590",6시간전
충남 아산시, 한경기획 청년다방 아산터미널점,17:00~21:00,"시급8,600",7시간전
경남 창원시, 창원씨티세븐몰점,17:30~20:30,"시급8,590",10시간전
경남 창원시, 창원씨티세븐몰점,10:30~22:30,"월급2,400,000",10시간전
강원 강릉시, 한경기획 청년다방 강릉금학점,11:00~22:30,"월급2,500,000",13시간전
경남 창원시, 창원씨티세븐몰점,11:30~14:30,"시급8,590",11/22
경기 성남시, 한경기획 청년다방 판교테크노밸리점,10:00~15:00,"시급10,000",11/22
인천 부평구, 한경기획 청년다방 인천삼산점,18:00~22:00,"시급8,590",11/21
서울 마포구, 한경기획 청년다방 망원역점,18:00~20:50,"시급8,590",11/21
서울 서대문, 한경기획 청년다방 가재울점,11:00~22:00,"월급2,200,000",11/21
경기 성남시, 한경기획 청년다방 판교테크노밸리점,10:30~20:00,"시급10,000",11/18
경기 성남시, 한경기획 청년다방 판교테크노밸리점,10:30~20:00,"시급12,000",11/18
경기 안양시, 한경기획 청년다방 안양예술공원점,16:00~20:00,"시급8,590",11/16
경기 안양시, 한경기획 청년다방 안양예술공원점,11:00~16:00,"시급8,590",11/16
경기 안양시, 한경기획 청년다방 안양예술공원점,11:00~18:00,"시급8,590",11/16
경기 안양시, 한경기획 청년다방 안양예술공원점,11:00~16:00,"시급8,590",11/16
경기 안양시, 한경기획 청년다방 안양일번가점,17:00~21:30,"시급8,590",11/16
부산 해운대, 한경기획 청년다방 장산점,11:00~23:00,"월급2,100,000",11/16
강원 강릉시, 한경기획 청년다방 강릉금학점,시간협의,"시급8,590",11/14
서울 은평구, 한경기획 청년다방 응암이마트점,17:00~24:00,"시급8,590",11/14
강원 강릉시, 한경기획 청년다방 강릉금학점,11:00~22:30,"월급2,500,000",11/14
충남 논산시, 한경기획 청년다방 논산오거리점,17:30~21:30,"시급8,600",11/09
충남 홍성군, 한경기획 청년다방 홍성내포점,10:00~22:00,"월급2,300,000",11/08
경기 성남시, 한경기획 청년다방 위례신도시점,10:30~14:30,"시급8,590",11/08
충남 논산시, 한경기획 청년다방 논산오거리점,17:30~21:30,"시급8,600",11/07
경기 이천시, 한경기획 청년다방 대구다사점,11:00~11:30,"시급8,590",11/07
경기 이천시, 한경기획 청년다방 대구다사점,11:00~11:30,"월급2,500,000",11/07
